created_at,Pi1_CO2,Pi1_CH4,Pi1_NH3,Pi2_CO2,Pi2_CH4,Pi2_NH3
2025-11-20 11:10:24+00:00,0,0,0,2016.0,69.33,207.0
2025-11-20 11:11:25+00:00,0,0,0,2011.12,69.13,206.39
2025-11-20 11:12:25+00:00,0,0,0,2012.55,69.19,206.57
2025-11-20 11:13:25+00:00,0,0,0,2031.76,69.99,208.97
2025-11-20 11:14:26+00:00,0,0,0,2045.49,70.56,210.69
2025-11-20 11:15:26+00:00,0,0,0,2047.0,70.62,210.88
2025-11-20 11:16:26+00:00,0,0,0,2027.97,69.83,208.5
2025-11-20 11:17:27+00:00,0,0,0,2039.6,70.32,209.95
2025-11-20 11:18:27+00:00,0,0,0,2047.5,70.65,210.94
2025-11-20 11:19:27+00:00,0,0,0,2043.21,70.47,210.4
2025-11-20 11:20:27+00:00,0,0,0,2017.19,69.38,207.15
2025-11-20 11:21:28+00:00,0,0,0,2027.04,69.79,208.38
2025-11-20 11:22:28+00:00,0,0,0,2043.47,70.48,210.43
2025-11-20 11:23:28+00:00,0,0,0,2055.09,70.96,211.89
2025-11-20 11:24:29+00:00,0,0,0,2045.4,70.56,210.68
2025-11-20 11:25:29+00:00,0,0,0,2061.92,71.25,212.74
2025-11-20 11:26:29+00:00,0,0,0,2043.89,70.5,210.49
2025-11-20 11:27:30+00:00,0,0,0,2041.36,70.39,210.17
2025-11-20 11:28:30+00:00,0,0,0,2005.14,68.88,205.64
2025-11-20 11:29:30+00:00,0,0,0,2006.57,68.94,205.82
2025-11-20 11:30:31+00:00,0,0,0,2010.45,69.1,206.31
2025-11-20 11:31:31+00:00,0,0,0,1978.44,67.77,202.31
2025-11-20 11:32:31+00:00,0,0,0,1953.93,66.75,199.24
2025-11-20 11:33:32+00:00,0,0,0,1850.33,62.43,186.29
2025-11-20 11:34:32+00:00,0,0,0,1996.64,68.53,204.58
2025-11-20 11:35:32+00:00,0,0,0,2026.54,69.77,208.32
2025-11-20 11:36:32+00:00,0,0,0,2028.89,69.87,208.61
2025-11-20 11:37:33+00:00,0,0,0,2031.26,69.97,208.91
2025-11-20 11:38:33+00:00,0,0,0,2040.27,70.34,210.03
2025-11-20 11:39:33+00:00,0,0,0,2032.18,70.01,209.02
2025-11-20 11:40:34+00:00,0,0,0,2011.96,69.17,206.49
2025-11-20 11:41:34+00:00,0,0,0,2011.79,69.16,206.47
2025-11-20 11:42:34+00:00,0,0,0,2008.26,69.01,206.03
2025-11-20 11:43:34+00:00,0,0,0,2038.24,70.26,209.78
2025-11-20 11:44:35+00:00,0,0,0,2019.21,69.47,207.4
2025-11-20 11:45:35+00:00,0,0,0,2007.16,68.97,205.89
2025-11-20 11:46:35+00:00,0,0,0,1984.67,68.03,203.08
2025-11-20 11:47:36+00:00,0,0,0,2036.22,70.18,209.53
2025-11-20 11:48:36+00:00,0,0,0,2039.93,70.33,209.99
2025-11-20 11:49:36+00:00,0,0,0,2033.86,70.08,209.23
2025-11-20 11:50:37+00:00,0,0,0,2013.74,69.24,206.72
2025-11-20 11:51:37+00:00,0,0,0,2043.89,70.5,210.49
2025-11-20 11:52:38+00:00,0,0,0,2045.66,70.57,210.71
2025-11-20 11:53:38+00:00,0,0,0,2047.76,70.66,210.97
2025-11-20 11:54:38+00:00,0,0,0,1992.26,68.34,204.03
2025-11-20 11:55:38+00:00,0,0,0,2005.14,68.88,205.64
2025-11-20 11:56:39+00:00,0,0,0,1979.45,67.81,202.43
2025-11-20 11:57:39+00:00,0,0,0,1782.77,59.62,177.85
2025-11-20 11:58:39+00:00,0,0,0,1264.17,38.01,113.02
2025-11-20 11:59:40+00:00,0,0,0,2101.25,72.89,217.66
2025-11-20 12:00:40+00:00,0,0,0,2061.83,71.24,212.73
2025-11-20 12:01:40+00:00,0,0,0,2051.63,70.82,211.45
2025-11-20 12:02:41+00:00,0,0,0,2047.25,70.64,210.91
2025-11-20 12:03:41+00:00,0,0,0,1988.38,68.18,203.55
2025-11-20 12:04:41+00:00,0,0,0,1970.61,67.44,201.33
2025-11-20 12:05:42+00:00,0,0,0,2091.99,72.5,216.5
